"主题","跟踪","状态","优先级","目标版本","描述"
"[P0] 阶段验收：项目脚手架与基础设施","任务","新建","高","M1","阶段验收（dev-plan P0）
单元测试关卡：health 接口 200；settings 读写；前端占位组件渲染。
业务功能测试关卡：docker compose up 后浏览器打开页面、curl /api/health 通。
退出标准：一键脚本完成 lint + 前后端测试且全绿。"
"[P0] 0.1 仓库与目录结构","任务","新建","正常","M1","Git 仓库、frontend/backend/docs/logs 骨架、.gitignore
关联功能点：—
所属阶段：P0 项目脚手架与基础设施"
"[P0] 0.2 后端骨架","任务","新建","正常","M1","FastAPI 入口、统一响应/异常处理、GET /api/health、pydantic-settings 配置
关联功能点：—
所属阶段：P0 项目脚手架与基础设施"
"[P0] 0.3 数据库层","任务","新建","正常","M1","SQLAlchemy 连接管理、启动建表、settings 键值表（ORM 抽象保持可切换/对接 MySQL）
关联功能点：M15
所属阶段：P0 项目脚手架与基础设施"
"[P0] 0.4 前端骨架","任务","新建","正常","M1","Vite+Vue3+TS、Element Plus、Router/Pinia、axios 封装、主布局空壳
关联功能点：—
所属阶段：P0 项目脚手架与基础设施"
"[P0] 0.5 开发联调","任务","新建","正常","M1","Vite proxy /api → Uvicorn 8000，前后端联调跑通
关联功能点：—
所属阶段：P0 项目脚手架与基础设施"
"[P0] 0.6 测试基建","任务","新建","正常","M1","pytest+coverage、Vitest 各跑通示例用例，ruff/ESLint 配置
关联功能点：—
所属阶段：P0 项目脚手架与基础设施"
"[P0] 0.7 Docker 雏形","任务","新建","正常","M1","多阶段 Dockerfile + compose 构建成功
关联功能点：—
所属阶段：P0 项目脚手架与基础设施"
"[P1] 阶段验收：认证与账户","任务","新建","高","M1","阶段验收（dev-plan P1）
单元测试关卡：哈希与校验；JWT 过期/刷新/篡改拒绝；限速计数器；401/403 用例；改密后旧 refresh 失效。
业务功能测试关卡：全新库 → 引导建 admin → 登录 → 刷新页面仍登录 → 改密 → 旧会话失效需重登。
退出标准：认证用例全绿，auth 模块覆盖率 ≥ 80%。"
"[P1] 1.1 用户模型与初始化向导","任务","新建","正常","M1","users 表、首个管理员创建接口（无用户时开放）
关联功能点：M01-2
所属阶段：P1 认证与账户"
"[P1] 1.2 登录与 JWT","任务","新建","正常","M1","bcrypt 哈希、登录接口、access/refresh 签发与刷新
关联功能点：M01-1/3
所属阶段：P1 认证与账户"
"[P1] 1.3 权限依赖注入","任务","新建","正常","M1","get_current_user / 角色依赖，受保护接口样例
关联功能点：M01-9
所属阶段：P1 认证与账户"
"[P1] 1.4 登录防爆破","任务","新建","正常","M1","失败计数限速（5 次/分钟锁定）
关联功能点：M01-6
所属阶段：P1 认证与账户"
"[P1] 1.5 修改密码","任务","新建","正常","M1","旧密码校验、强度校验、改密后其他会话失效
关联功能点：M01-4/5
所属阶段：P1 认证与账户"
"[P1] 1.6 前端认证流","任务","新建","正常","M1","登录页/初始化引导页/路由守卫/token 自动续期/登出
关联功能点：M01-1/2/3
所属阶段：P1 认证与账户"
"[P2] 阶段验收：应用、分组与入口管理","任务","新建","高","M1","阶段验收（dev-plan P2）
单元测试关卡：CRUD 契约与权限；排序幂等；导入导出 round-trip 一致；favicon 抓取超时兜底。
业务功能测试关卡：建""媒体""分组 → 建 Jellyfin 应用 → 挂 lan+domain 两入口 → 导出 → 清库导入 → 数据一致。
退出标准：管理页可完整维护一个多入口应用。"
"[P2] 2.1 分组 CRUD","任务","新建","正常","M1","categories 模型/接口/排序
关联功能点：M03-2/4
所属阶段：P2 应用、分组与入口管理"
"[P2] 2.2 应用 CRUD","任务","新建","正常","M1","apps 模型/接口/批量排序
关联功能点：M03-1/4
所属阶段：P2 应用、分组与入口管理"
"[P2] 2.3 访问入口 CRUD","任务","新建","正常","M1","app_urls 五种类型（domain/lan/ssh/vpn/custom）
关联功能点：M04-1~6
所属阶段：P2 应用、分组与入口管理"
"[P2] 2.4 图标体系","任务","新建","正常","M1","上传（自动压方）/URL/Emoji + favicon 自动抓取
关联功能点：M03-5/6
所属阶段：P2 应用、分组与入口管理"
"[P2] 2.5 导入导出","任务","新建","正常","M1","应用+分组+入口 JSON 全量导入导出
关联功能点：M03-13
所属阶段：P2 应用、分组与入口管理"
"[P2] 2.6 前端管理页","任务","新建","正常","M1","应用列表/编辑抽屉（含入口编辑）/分组管理
关联功能点：M03/M04
所属阶段：P2 应用、分组与入口管理"
"[P3] 阶段验收：网络环境与智能解析","任务","新建","高","M1","阶段验收（dev-plan P3）
单元测试关卡：CIDR 匹配（命中/不命中/多档案顺序/无默认兜底/边界地址）；resolve 排序与推荐；手动 > 自动优先级；矩阵输出结构。
业务功能测试关卡：配""家庭 192.168.1.0/24""档案 → 内网访问自动选中 lan 入口；用 detect 接口模拟外部来源 IP → 推荐 domain 入口；测试矩阵正确显示通/断；SSH 弹窗命令可复制可用。
退出标准：解析用例全绿；真实双环境（内网+手机热点）实测自动切换成功。"
"[P3] 3.1 环境档案","任务","新建","正常","M1","network_profiles 模型/接口 + CIDR 匹配服务
关联功能点：M04-7/8
所属阶段：P3 网络环境与智能解析"
"[P3] 3.2 环境探测","任务","新建","正常","M1","/api/network-profiles/detect（按请求来源 IP 判定）
关联功能点：M04-8
所属阶段：P3 网络环境与智能解析"
"[P3] 3.3 智能解析接口","任务","新建","正常","M1","/api/apps/{id}/resolve：按环境优先级返回推荐+备选
关联功能点：M04-10
所属阶段：P3 网络环境与智能解析"
"[P3] 3.4 手动环境偏好","任务","新建","正常","M1","用户手动覆盖自动识别，选择持久化
关联功能点：M04-9
所属阶段：P3 网络环境与智能解析"
"[P3] 3.5 访问方式设置页","任务","新建","正常","M1","环境档案管理 + 应用×入口矩阵 + 顶栏环境切换器
关联功能点：M04-7/9
所属阶段：P3 网络环境与智能解析"
"[P3] 3.6 连通性测试矩阵","任务","新建","正常","M1","一键探测全部入口，输出通断/延迟矩阵
关联功能点：M04-13
所属阶段：P3 网络环境与智能解析"
"[P3] 3.7 SSH 本地命令","任务","新建","正常","M1","ssh 入口生成 ssh -L 命令弹窗一键复制
关联功能点：M04-15
所属阶段：P3 网络环境与智能解析"
"[P3] 3.8 多入口选择浮层","任务","新建","正常","M1","点击弹层手选入口，标注环境与状态
关联功能点：M04-12
所属阶段：P3 网络环境与智能解析"
"[P4] 阶段验收：首页仪表盘","任务","新建","高","M1","阶段验收（dev-plan P4）
单元测试关卡：布局序列化/反序列化；搜索过滤与排序；主题状态切换逻辑。
业务功能测试关卡：拖拽后刷新布局保持；Ctrl+K 搜""Jellyfin""回车新开标签；切暗色全页生效；浏览器窗口缩到手机宽度磁贴单列、底部导航可用。
退出标准：首页无控制台报错，交互流畅，布局持久化正确。"
"[P4] 4.1 首页框架","任务","新建","正常","M1","分组区块 + 磁贴渲染 + 打开方式（新标签/当前/iframe）
关联功能点：M02-1、M03-9
所属阶段：P4 首页仪表盘"
"[P4] 4.2 布局持久化","任务","新建","正常","M1","拖拽排序、位置即改即存
关联功能点：M02-2
所属阶段：P4 首页仪表盘"
"[P4] 4.3 卡片尺寸","任务","新建","正常","M1","1x / 2x 宽度
关联功能点：M02-3
所属阶段：P4 首页仪表盘"
"[P4] 4.4 命令面板","任务","新建","正常","M1","Ctrl+K 全局搜索、模糊匹配、回车直达
关联功能点：M02-6
所属阶段：P4 首页仪表盘"
"[P4] 4.5 收藏置顶","任务","新建","正常","M1","收藏标记、搜索与首页优先
关联功能点：M02-9
所属阶段：P4 首页仪表盘"
"[P4] 4.6 主题系统","任务","新建","正常","M1","暗色（跟随系统/手动）、主题色、自定义壁纸
关联功能点：M02-18~20
所属阶段：P4 首页仪表盘"
"[P4] 4.7 时钟小组件","任务","新建","正常","M1","时钟 + 时段问候
关联功能点：M02-10
所属阶段：P4 首页仪表盘"
"[P4] 4.8 移动端适配","任务","新建","正常","M1","磁贴单列、底部导航、触控目标 ≥44px
关联功能点：M02-21、M16-1/3/6
所属阶段：P4 首页仪表盘"
"[P5] 阶段验收：服务器性能监控基础","任务","新建","高","M1","阶段验收（dev-plan P5）
单元测试关卡：采样数据结构与单位换算；清理任务只删过期；历史聚合空区间/超长区间边界。
业务功能测试关卡：监控页秒级自动刷新；跑 stress 压测 CPU 曲线明显上扬后回落；重启容器监控历史不丢（数据卷持久化）。
退出标准：NAS 实机连续运行 24h 采样无中断、库体积符合预期。"
"[P5] 5.1 采集服务","任务","新建","正常","M1","psutil 指向宿主 /proc、/sys（挂载方案），docker stats 兜底开关；系统信息/CPU 每核/内存/磁盘分区/网卡流量
关联功能点：M17-1~5
所属阶段：P5 服务器性能监控基础"
